,Paper Title,Authors,Description,Tags/Comments,Conference Venue,Year,Paper link,Additional resources
0,The Fallacy of AI Functionality,"Inioluwa Deborah Raji, I. Elizabeth Kumar, Aaron Horowitz, Andrew D. Selbst",,"Viability Assessments-General, Problem Identification",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533158,
1,"When not to design, build, or deploy","Solon Barocas, Biega, Asia J., Biega, Benjamin Fish, Jundefineddrzej Niklas, Luke Stark",,"Viability Assessments-General, Problem Identification",FAccT,2020,https://dl.acm.org/doi/abs/10.1145/3351095.3375691,
2,Against Predictive Optimization: On the Legitimacy of Decision-Making Algorithms that Optimize Predictive Accuracy,"Angelina Wang, Sayash Kapoor, Solon Barocas, Arvind Narayanan",,"Viability Assessments-General, Measurement",SSRN,2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4238015,
3,A validity perspective on evaluating the justified use of data-driven decision-making algorithms,"Ama Coston, Anna Kawakami, Haiyi Zhu, Ken Holstein, Hoda Heidari",,"Viability Assessments-General, Measurement",SATML,2023,https://arxiv.org/abs/2206.14983,
4,Algorithmic fairness and vertical equity: Income fairness with irs tax audit models,"Emily Black, Hadi Elzayn, Alexra Chouldechova, Jacob Goldin, Daniel Ho",,"Problem Formulation-Prediction Target, Problem Identification (Case Study)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3533204,
5,Dissecting racial bias in an algorithm used to manage the health of populations,"Ziad Obermeyer, Brian Powers, Christine Vogeli, Sendhil Mullainathan",,"Problem Formulation-Prediction Target, Problem Identification (Case Study)",Science,2019,https://www.science.org/doi/abs/10.1126/science.aax2342,
6,Data augmentation for fairness-aware machine learning: Preventing algorithmic bias in law enforcement systems,"Ioannis Pastaltzidis, Nikolaos Dimitriou, Katherine Quezada-Tavarez, Stergios Aidinlis, Thomas Marquenie, Agata Gurzawska, Dimitrios Tzovaras",,"Problem Formulation-Prediction Target, Problem Identification (Case Study)",FAccT,2022,https://dl.acm.org/doi/10.1145/3531146.3534644,
7,"The distributive effects of risk prediction in environmental compliance: Algorithmic design, environmental justice, and public policy","Elinor Benami, Reid Whitaker, Vincent La, Hongjin Lin, Bron R Anderson, Daniel E Ho",,"Problem Formulation-Prediction Target, Mitigation",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445873,
8,Beyond distributive fairness in algorithmic decision making: Feature selection for procedurally fair learning,"Nina Grgić-Hlača, Muhammad Bilal Zafar, Krishna P Gummadi, Adrian Weller",,"Problem Formulation-Predictive Attributes, Problem Identification",AAAI,2018,https://ojs.aaai.org/index.php/AAAI/article/view/11296,
9,"Modeling assumptions clash with the real world: Transparency, equity, and community challenges for student assignment algorithms.","Samantha Robertson, Tonya Nguyen, Niloufar Salehi.",,"Problem Formulation-General, Problem Identification (Case study)",CHI,2021,https://dl.acm.org/doi/10.1145/3411764.3445748,
10,Algorithmic management reimagined for workers and by workers: Centering worker well-being in gig work,"Angie Zhang, Alexer Boltz, Chun Wei Wang, Min Kyung Lee",,"Problem Formulation-General, Problem Identification (Case study)",CHI,2022,https://dl.acm.org/doi/10.1145/3491102.3501866,
11,Re-imagining systems in the realm of immigration in higher education through participatory design.,Maria Conchita A. Navarro  Orit Shaer,,"Problem Formulation-General, Problem Identification (Case study)",CSCW,2022,https://dl.acm.org/doi/10.1145/3500868.3559457,
12,"""I feel like I need to split myself in half"": Using Role Theory to Design for Parents as Caregiving Teams in the Children's Hospital","Sarah Nikkhah, Akash Uday Rode, Priyanjali Mittal, Neha K. Kulkarni, Salonee Nadkarni, Emily L. Mueller,  Andrew D. Miller",,"Problem Formulation-General, Problem Identification (Case study)",CSCW,2022,https://dl.acm.org/doi/10.1145/3500868.3559466,
13,Problem formulation and fairness,"Samir Passi, Solon Barocas",,"Problem Formulation-General, Problem Identification",FAccT,2019,https://dl.acm.org/doi/10.1145/3287560.3287567,
14,A case study of algorithm-assisted decision making in child maltreatment hotline screening decisions,"Alexra Chouldechova, Diana Benavides-Prado, Oleksr Fialko,  Rhema Vaithianathan",,"Problem Formulation-General, Problem Identification (Case study)",FAccT,2018,https://proceedings.mlr.press/v81/chouldechova18a.html,
15,Measurement and Fairness,Abigail Z. Jacobs  Hanna Wallach,,"Problem Formulation-General, Problem Identification",FAccT,2021,https://dl.acm.org/doi/10.1145/3442188.3445901,
16,Soliciting stakeholders’ fairness notions in child maltreatment predictive systems,"Hao-Fei Cheng, Logan Stapleton, Ruiqi Wang, Paige Bullock, Alexra Chouldechova, Zhiwei Steven Wu,  Haiyi Zhu",,"Problem Formulation-General, Problem Identification",CHI,2021,https://dl.acm.org/doi/10.1145/3411764.3445308,
17,Multi-category fairness in sponsored search auctions,"Christina Ilvento, Meena Jagadeesan,  Shuchi Chawla",,"Problem Formulation-General, Problem Identification (Case study)",FAccT,2020,https://dl.acm.org/doi/10.1145/3351095.3372848,
18,To Predict and Serve?,"Kristian Lum, William Isaac",,"Problem Formulation-General, Problem Identification",Significance,2016,https://academic.oup.com/jrssig/article/13/5/14/7029190,
19,Gender shades: Intersectional accuracy disparities in commercial gender classification,"Joy Buolamwini, Timnit Gebru",,"Data Collection-Sampling, Problem Identification (Case Study)",FAccT,2018,https://proceedings.mlr.press/v81/buolamwini18a.html,
